product_id,name_template,productcategoryname,service
3030,Référencement ( SEO ),Digital,Projects
4065,Déploiement et paramétrage,Serveur,SI
4062,SAV (SLA) ERP Pack Basic,ERP,Projects
4063,SAV (SLA) ERP Pack Pro,ERP,Projects
4007,Switch TP-link 16 port,Matériel,SI
2689,E-mailing,Digital,Projects
2687,Casque Jabra 620 Mono,All products,SI
2711,VPN Backbone 2 Mbps,Hébergement,SI
2688,Casque Jabra BIS360,All products,SI
2692,Logotype ,Digital,Projects
2690,TONER HP 85A,All products,SI
2691,charges comunes 15%,All products,SI
2693,BRISTOL UNI BLANC A4 180G 100F**,All products,SI
2694,HP 8GB 2Rx4 PC3-10600R-9 Kit,All products,SI
2695,TONER LASER 36A,All products,SI
4008,ARMOIRE 24U ,Matériel,SI
4064,SAV (SLA) ERP Pack Premium,ERP,Projects
4066,SOPHOS - Email Protection Advanced,Matériel,SI
2768,Onduleur professionnel,Matériel,SI
2832,Casque Jabra 620 Mono,Matériel,SI
2722,Gestion documentation Ã©lectronique ,All products,SI
2723,Honoraires d'assistance comptable,All products,SI
2724,@ IP,All products,SI
3840,Infogérance Gold,Infogérance,SI
4067,Développement fonctionnelle ERP,ERP,Projects
4068,OfficeProPlus 2019,Office 365,SI
4044,SOPHOS - ES150 Email Appliance,Matériel,SI
2762,Portail Dynamique ( Développement web ),Développement web,Projects
2757,Service Traduction ,Digital,Projects
2755, DVD ou CD,All products,SI
3073,CONCEPTION WEB,Digital,Projects
3066,REVENDEUR 4,Hébergement,SI
2758,Print ,All products,SI
2761,RÃ©fÃ©rencement ,All products,SI
2765,AP-105-MNT - AP-100 SERIES MOUNT KIT,All products,SI
4069,Infogérance Bronze Office 365,Office 365,SI
2782,BanniÃ¨re publicitaire ,All products,SI
2783,Ranking Site,All products,SI
2784,CLE USB WIFI D-LINK REF/DWA-131,All products,SI
2786,Enregistrement - Transfert - Renouvellement Nom de domaine .tv .name .cc .mobi .tel .dz,Hébergement,SI
2787,CD intÃ©ractif MultimÃ©dia ,All products,SI
2789,test,All products,SI
2793,Backup every day to other machine 2,All products,SI
2794,End-point protection,All products,SI
2795,IntÃ©gration,All products,SI
2815,Développement,Digital,Projects
4070,Infogérance Silver Office 365,Office 365,SI
2810,Licence Anti-virus Pare-feu: bloque les attaques des pirates informatiques Pare-feu: sécurise vos données personnelles Pare-Feu:,All products,SI
2811,"Serveur NAS, pour 5 Disque SATA 3",All products,SI
2818,Hébergement 250 Go Espace Disque 250 Go trafic 5000 Go/mois 500 E-mails 500 Bases de donnée Panneau de contrôle Un nom de domain,Hébergement,SI
2812,Disque dure SATA : 1 To,All products,SI
4071,Infogérance Gold Office 365,Office 365,SI
4075,LOCATION DE VEHICULE,Achat,Marketing
4074,Basic Support/Subscription VMware vSphere 6 Standard for 1 processor for 1 year,Serveur,SI
3592,Remise,All products,SI
2857,Infogérance Silver ,Infogérance,SI
3302,Service,All products,SI
2837,Logotype : - Charte graphique web complète.,Digital,Projects
2835,charges comunes 15%,All products,SI
2836,REVUE bimensuelle Vouloir,All products,SI
2838,Formation Diplomante: Développeur Web et attestation des études collégiales (3ème) tranche Au profit de: Mr AOUFI Hamza Mr BELBA,All products,SI
2850,IP adresse publique,Serveur,SI
2839,RAM EXTRA BLANC 80GR F A4,All products,SI
4077,Serveur Privé VM ( EG) VPS,Serveur,SI
2861,Serveur Privé VM ( MG) VPS DZ ( Algérie ),Serveur,SI
2862,Ligne téléphonique fixe 021 10 05 19,All products,SI
2868,VPN,Hébergement,SI
2863,Ligne téléphonique fixe 021 10 05 06,All products,SI
2866,"Disque Dur 3""5-3T-SATA-64M Cache- Western Digital- Green- WD30EZRSDTL",All products,SI
2908,Formation du portail dynamique,Développement web,Projects
4089,Power BI,Office 365,SI
4080,Serveur Privé VM ( XG ),Serveur,SI
4081,KASPERSKY Total Security for Business,Sécurité,SI
4088,Licence web application,Hébergement,SI
4084,jabra,All products,SI
4078,Serveur Privé VM ( MG) VPS,Serveur,SI
2889,"KVM : Reboot, Monitoring",All products,SI
2890,Clé WIFI Intex,All products,SI
2893,AP-105-MNT - AP-100 SERIES MOUNT KIT,All products,SI
2948,"Diagnostic : détection, audit",Digital,Projects
4079,Serveur Privé VM ( HG) VPS,Serveur,SI
4082,Logitech Group,Matériel,SI
3680,site web dynamique,All products,SI
4085,SMS,All products,SI
2918,SEM LA CONSTRUCTION D BUSINESS PLAN DU 10 AU 12/02/2014,All products,SI
2920,Récup 5% année 2013,All products,SI
2921,Ticket de deux jours pour le salon Euroshop,All products,SI
4083,Logitech BCC950,Matériel,SI
4086,Licence ERP Odoo Entreprise,ERP,Projects
4076,VISIO CONFERENCE,Digital,Projects
2965,Module Project,ERP,Projects
2971,DNS : Gestion DNS - Entrée A - Pointage. - Clusturing DNS. - Création base de donnée DNS.,Hébergement,SI
2963,Module Comptabilité Algérienne configuration,ERP,Projects
2951,CONTRAT DE LOCATION BUREAUX ANPT,All products,SI
2966,Formation Portail dynamique : - Formation d'utilisation portail - Assistance d'utilisateur. - Suivi. - Déplacement.,Développement web,Projects
2952,Samsung GT E1205T,All products,SI
2953,"Frais d'installation Business avec caution N° Contrat: E00873057, N° SIM: 219257419844, N° MSISDN: 770767720",All products,SI
2954,Caution,All products,SI
3769,Hebergement hôtel,Achat,Marketing
3136,Séance photo pour un site pro ( Shooting ),Digital,Projects
2974,POC Messagerie et collaboration - Installation et configuration de Zimbra Collaboration Server - Mise en marche de la solution -,Hébergement,SI
2993,Formation des modules : ERP,ERP,Projects
2981,SITE WEB E-COMMERCE,Digital,Projects
2985,Module sur ERP,ERP,Projects
2972,Audit réseau : - la segmentation avec préconisation d'un plan d'adressage - Recherche des failles de sécurité et de configuratio,All products,SI
2975,LTE 4G ( 5 GO ),All products,SI
3021,Hébergement Plan Professionnel,Hébergement,SI
3011,Portail développement spécifique,Développement web,Projects
3001,Serveur HP DL380 Gen8 E5-2630 V2,Matériel,SI
2960,GED : Gestion électronique documentaire,All products,SI
3016,Campagne E-mailing,Digital,Projects
3014,Enregistrement - Transfert - Renouvellement Nom de domaine .tv .name .cc .mobi .tel .dz,Hébergement,SI
2999,Windows Serveur Standard 2012 DVD,All products,SI
